JW_ID,Entry,Protein names,Length,Gene Names (primary),AlphaFoldDB,PDB
JW5292,P76245,Diguanylate cyclase DgcP (DGC) (EC 2.7.7.65),341,dgcP,P76245;,
JW1789,P76251,D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83) (D-malate degradation protein A) (D-malate oxidase),361,dmlA,P76251;,
JW5294,P0ABR7,Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit),374,yeaW,P0ABR7;,
JW1792,P76254,Carnitine monooxygenase reductase subunit (EC 1.14.13.239) (Carnitine monooxygenase beta subunit),321,yeaX,P76254;,
JW1793,P09155,Ribonuclease D (RNase D) (EC 3.1.13.5),375,rnd,P09155;,1YT3;
JW1801,P05041,Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1),453,pabB,P05041;,1K0E;1K0G;
JW1803,P16095,L-serine dehydratase 1 (SDH 1) (EC 4.3.1.17) (L-serine deaminase 1) (L-SD1),454,sdaA,P16095;,
JW1805,P0AEC0,UPF0053 inner membrane protein YoaE,518,yoaE,P0AEC0;,
JW1806,P69797,PTS system mannose-specific EIIAB component (EC 2.7.1.191) (EIIAB-Man) (EIII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component); Mannose-specific phosphotransferase enzyme IIB component (PTS system mannose-specific EIIB component)],323,manX,P69797;,1PDO;1VRC;1VSQ;2JZH;2JZN;2JZO;
JW5301,P76273,Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.178) (16S rRNA m5C1407 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmF),479,rsmF,P76273;,2FRX;
JW1838,P33221,Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (GAR transformylase T) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2),392,purT,P33221;,1EYZ;1EZ1;1KJ8;1KJ9;1KJI;1KJJ;1KJQ;
JW1841,P0AC53,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49) [Cleaved into: Extracellular death factor (EDF)],491,zwf,P0AC53;,
JW1843,P21599,Pyruvate kinase II (EC 2.7.1.40) (PK-2),480,pykA,P21599;,6K0K;
JW1844,P24205,Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase),323,lpxM,P24205;,
JW5304,P0AFS9,Murein DD-endopeptidase MepM (EC 3.4.24.-) (Murein hydrolase MepM) (ORFU),440,mepM,P0AFS9;,
JW5831,P39172,High-affinity zinc uptake system protein ZnuA,310,znuA,P39172;,2OGW;2OSV;2PRS;2PS0;2PS3;2PS9;
JW1849,P0A812,Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-),336,ruvB,P0A812;,
JW1860,P76291,tRNA U34 carboxymethyltransferase (EC 2.5.1.-),323,cmoB,P76291;,4QNU;4QNV;4QNX;
JW1862,P52005,Cytochrome c-type protein TorY,366,torY,P52005;,
JW1872,P07330,Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44) (Chemotaxis response regulator protein-glutamate methylesterase/glutamine deamidase) (Methyl-accepting chemotaxis proteins-specific methylesterase/deamidase) (MCP-specific methylesterase/deamidase),349,cheB,P07330;,
JW5312,P31677,"Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)",474,otsA,P31677;,1GZ5;1UQT;1UQU;2WTX;6JAK;
JW1888,P0AAF3,Arabinose import ATP-binding protein AraG (EC 7.5.2.12),504,araG,P0AAF3;,
JW1889,P02924,L-arabinose-binding periplasmic protein (ABP),329,araF,P02924;,1ABE;1ABF;1APB;1BAP;2WRZ;5ABP;6ABP;7ABP;8ABP;9ABP;
JW5313,P76316,D-cysteine desulfhydrase (EC 4.4.1.15),328,dcyD,P76316;,
JW1908,P04949,Flagellin,498,fliC,P04949;,8CXM;
JW1909,P24216,Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein),468,fliD,P24216;,5H5V;5H5W;
JW1912,P26612,"Cytoplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",495,amyA,P26612;,
JW1923,P0ABZ1,Flagellar motor switch protein FliG,331,fliG,P0ABZ1;,
JW1925,P52612,Flagellum-specific ATP synthase (EC 7.1.2.2),457,fliI,P52612;,
JW1927,P52614,Flagellar hook-length control protein,375,fliK,P52614;,
JW1929,P06974,Flagellar motor switch protein FliM,334,fliM,P06974;,1F4V;1U8T;2B1J;
JW1944,P0AED9,DNA-cytosine methyltransferase (EC 2.1.1.37) (Type II methyltransferase M.EcoKDcm) (M.EcoKDcm),472,dcm,P0AED9;,
JW1951,P76339,Sensor histidine kinase HprS (EC 2.7.13.3) (Hydrogen peroxide response sensor),452,hprS,P76339;,
JW1954,P76342,Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-),334,msrP,P76342;,1XDQ;1XDY;
JW1962,P76350,Shikimate transporter (Shikimate permease),438,shiA,P76350;,
JW1963,P0AE12,AMP nucleosidase (EC 3.2.2.4),484,amn,P0AE12;,1T8R;1T8S;1T8W;1T8Y;
JW1969,P36562,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase),359,cobT,P36562;,
JW1983,P76361,Inner membrane protein YeeR,510,yeeR,P76361;,
JW1990,P33011,Inner membrane protein YeeA,352,yeeA,P33011;,
JW5329,P33013,D-alanyl-D-alanine carboxypeptidase DacD (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6b) (PBP-6b),388,dacD,P33013;,5FSR;
JW1993,P04995,Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase),475,sbcB,P04995;,1FXX;2QXF;3C94;3C95;3HL8;3HP9;4HCB;4HCC;4JRP;4JRQ;4JS4;4JS5;
JW2002,P06988,Histidinol dehydrogenase (HDH) (EC 1.1.1.23),434,hisD,P06988;,1K75;1KAE;1KAH;1KAR;
JW2004,P06987,Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)],355,hisB,P06987;,
JW5836,P76372,Chain length determinant protein (Polysaccharide antigen chain regulator),326,wzzB,P76372;,6RBG;
JW2010,P76373,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),388,ugd,P76373;,
JW2011,P00350,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",468,gnd,P00350;,2ZYA;2ZYD;3FWN;
JW2017,P37751,Putative glycosyltransferase WbbK,372,wbbK,P37751;,
JW2019,P37749,"Beta-1,6-galactofuranosyltransferase WbbI (EC 2.4.1.-) (D-Galf:alpha-D-Glc beta-1,6-galactofuranosyltransferase) (GalF transferase)",330,wbbI,P37749;,
JW2021,P37747,UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase),367,glf,P37747;,1I8T;
JW2026,P37759,"dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)",361,rfbB,P37759;,
JW2029,P71243,Putative colanic acid biosynthesis glycosyltransferase WcaL (EC 2.4.-.-),406,wcaL,P71243;,
JW2030,P71242,Colanic acid biosynthesis protein WcaK (EC 2.-.-.-),426,wcaK,P71242;,
JW2034,P24174,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) (GDP-mannose pyrophosphorylase) (GMP) (GMPP),478,manC,P24174;,
JW2035,P32057,Putative colanic acid biosynthesis glycosyl transferase WcaI,407,wcaI,P32057;,
JW2038,P0AC88,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)",373,gmd,P0AC88;,1DB3;
JW2042,P71237,Putative colanic acid biosynthesis glycosyl transferase WcaC,405,wcaC,P71237;,
JW2047,P0A930,Putative polysaccharide export protein Wza,379,wza,P0A930;,7XFD;7XFF;
JW2054,P36928,Uncharacterized chaperone protein YegD,450,yegD,P36928;,
JW5338,P76397,Multidrug resistance protein MdtA (Multidrug transporter MdtA),415,mdtA,P76397;,
JW2063,P30847,Signal transduction histidine-protein kinase BaeS (EC 2.7.13.3),467,baeS,P30847;,
JW2066,P76403,tRNA hydroxylation protein P (EC 3.4.-.-),453,trhP,P76403;,
JW2075,P0A9S3,Galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251),346,gatD,P0A9S3;,4A2C;4UEJ;4UEK;4UEO;
JW2082,P0C8J8,"D-tagatose-1,6-bisphosphate aldolase subunit GatZ",420,gatZ,P0C8J8;,
JW1050,P0AB26,Uncharacterized lipoprotein YceB,186,yceB,P0AB26;,3L6I;
JW1051,P0AC59,Glutaredoxin 2 (Grx2),215,grxB,P0AC59;,1G7O;4KSM;4KX4;7D9L;7DKP;7DKR;
JW1054,P29217,UPF0502 protein YceH (G20.3),215,yceH,P29217;,5VYV;
JW1055,P75931,Putative oxidoreductase YceM (EC 1.-.-.-),307,yceM,P75931;,1TLT;
JW1059,P75933,Flagella basal body P-ring formation protein FlgA,219,flgA,P75933;,
JW1062,P75936,Basal-body rod modification protein FlgD,231,flgD,P75936;,
JW1064,P75938,Flagellar basal-body rod protein FlgF (Putative proximal rod protein),251,flgF,P75938;,
JW1065,P0ABX5,Flagellar basal-body rod protein FlgG (Distal rod protein),260,flgG,P0ABX5;,
JW5153,P0A6S0,Flagellar L-ring protein (Basal body L-ring protein),232,flgH,P0A6S0;,
JW1068,P75942,Peptidoglycan hydrolase FlgJ (EC 3.2.1.-) (Muramidase FlgJ),313,flgJ,P75942;,
JW5155,P0A729,7-methyl-GTP pyrophosphatase (m(7)GTP pyrophosphatase) (EC 3.6.1.-),194,yceF,P0A729;,4JHC;
JW1074,P0AB28,Large ribosomal RNA subunit accumulation protein YceD (23S rRNA accumulation protein YceD) (G30K),173,yceD,P0AB28;,
JW1078,P0AAI9,Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39),309,fabD,P0AAI9;,1MLA;2G1H;2G2O;2G2Y;2G2Z;6U0J;
JW1079,P0AEK2,3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase),244,fabG,P0AEK2;,1I01;1Q7B;1Q7C;
JW1082,P28305,Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL),269,pabC,P28305;,1ET0;1I2K;1I2L;
JW1084,P0A720,Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK),213,tmk,P0A720;,1E9F;4TMK;5TMP;
JW5157,P0AB38,Penicillin-binding protein activator LpoB (PBP activator LpoB) (Lipoprotein activator of PBP from the outer membrane B),213,lpoB,P0AB38;,
JW1092,P75948,Thiamine kinase (EC 2.7.1.89),274,thiK,P75948;,
JW5158,P0A8E1,UPF0227 protein YcfP,180,ycfP,P0A8E1;,
JW5159,P75952,HTH-type transcriptional repressor ComR (Copper outer membrane regulator),210,comR,P75952;,
JW5162,P75957,Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-),233,lolD,P75957;,7ARH;7ARI;7ARJ;7ARK;7ARL;7ARM;7MDX;7MDY;7V8I;7V8L;7V8M;
JW1105,P75959,N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase),303,nagK,P75959;,
JW1116,P23836,Transcriptional regulatory protein PhoP,223,phoP,P23836;,2PKX;2PL1;
JW5165,P25746,High frequency lysogenization protein HflD,213,hflD,P25746;,1QZ4;1SDI;
JW1121,P75966,Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20) (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E),217,rluE,P75966;,2OLW;2OML;
JW5169,P75975,Prophage transcriptional regulatory protein (Putative lambdoid prophage e14 transcriptional regulatory protein),66,croE,P75975;,
JW1131,P75974,Prophage repressor CohE (Putative lambdoid prophage e14 repressor protein C2),224,cohE,P75974;,
JW1133,P75976,Uncharacterized protein YmfL,185,ymfL,P75976;,
JW5170,P75981,Putative protein JayE (Putative protein JayE from lambdoid prophage e14 region),263,jayE,P75981;,
JW1139,P75982,Uncharacterized protein YmfQ (Uncharacterized protein YmfQ in lambdoid prophage e14 region),194,ymfQ,P75982;,
JW1140,P45581,Uncharacterized protein StfP (Uncharacterized protein StfP from lambdoid prophage e14 region),209,stfP,P45581;,
JW1142,P09153,Prophage tail fiber assembly protein homolog TfaE (Tail fiber assembly protein homolog from lambdoid prophage e14),200,tfaE,P09153;,
JW5172,P33227,Putative uncharacterized protein StfE (Side tail fiber protein homolog from lambdoid prophage e14),178,stfE,P33227;,
JW1144,P03014,Serine recombinase PinE (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinE) (DNA-invertase from lambdoid prophage e14) (Site-specific recombinase PinE),184,pinE,P03014;,
JW1145,P24200,Type IV methyl-directed restriction enzyme EcoKMcrA (EcoKMcrA) (EC 3.1.21.-) (5-methylcytosine-specific restriction enzyme A),277,mcrA,P24200;,6GHC;6R64;6T21;6T22;
JW1149,P75989,HTH-type transcriptional repressor BluR,243,bluR,P75989;,
JW1164,P0AEZ3,Septum site-determining protein MinD (Cell division inhibitor MinD),270,minD,P0AEZ3;,3Q9L;3R9I;3R9J;
JW1165,P18196,Septum site-determining protein MinC,231,minC,P18196;,5XDM;
JW1169,P76004,Oxaloacetate tautomerase YcgM (EC 5.3.2.2),219,ycgM,P76004;,1NR9;
JW5181,P77335,"Hemolysin E, chromosomal (Cytotoxin ClyA) (Hemolysis-inducing protein) (Latent pore-forming 34 kDa hemolysin) (Silent hemolysin SheA)",303,hlyE,P77335;,1QOY;2WCD;4PHO;4PHQ;6MRT;6MRU;6MRW;
JW5182,P0A6M2,Disulfide bond formation protein B (Disulfide oxidoreductase),176,dsbB,P0A6M2;,2HI7;2K73;2K74;2LEG;2LTQ;2ZUP;2ZUQ;3E9J;6WVF;
JW1176,P0A8V6,Fatty acid metabolism regulator protein,239,fadR,P0A8V6;,1E2X;1H9G;1H9T;1HW1;1HW2;
JW5821,P0C960,Endo-type membrane-bound lytic murein transglycosylase A (EC 4.2.2.n2) (Peptidoglycan lytic endotransglycosylase),203,emtA,P0C960;,2Y8P;3T36;4HJV;4HJY;4HJZ;6GHY;6GHZ;6GI3;6GI4;
JW1181,P76008,Murein tetrapeptide carboxypeptidase (EC 3.4.17.13) (LD-carboxypeptidase A) (Muramoyltetrapeptide carboxypeptidase),304,ldcA,P76008;,5Z01;5Z03;
JW1183,P76010,Flagellar brake protein YcgR (Cyclic di-GMP binding protein YcgR),244,ycgR,P76010;,5Y6F;5Y6G;5Y6H;
JW5186,P76014,"PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL (EC 2.7.1.121)",210,dhaL,P76014;,2BTD;3PNL;4LRZ;
JW1195,P0A7D1,Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29),194,pth,P0A7D1;,2PTH;3VJR;
JW1198,P0A717,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),315,prs,P0A717;,4S2U;6ASV;7XMU;7XMV;7XN3;
JW1199,P62615,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),283,ispE,P62615;,2WW4;
JW1200,P61320,Outer-membrane lipoprotein LolB,207,lolB,P61320;,1IWM;1IWN;
JW1203,P0ACC1,Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.EcoKHemKP) (N5-glutamine methyltransferase PrmC) (Protein release factor methylation C) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC),277,prmC,P0ACC1;,1T43;2B3T;
JW1205,P0AGM5,UPF0162 protein YchA (Protein SirB1),269,ychA,P0AGM5;,
JW1206,P0A715,2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase),284,kdsA,P0A715;,1D9E;1G7U;1G7V;1GG0;1PHQ;1PHW;1PL9;1Q3N;1X6U;1X8F;6U57;
JW1209,P39163,Glutathione-specific gamma-glutamylcyclotransferase (Gamma-GCG) (EC 4.3.2.7) (Cation transport regulatory protein ChaC),231,chaC,P39163;,
JW1212,P0AF28,Nitrate/nitrite response regulator protein NarL,216,narL,P0AF28;,1A04;1JE8;1RNL;1ZG1;1ZG5;8U3B;
JW1217,P0AF26,Nitrate reductase molybdenum cofactor assembly chaperone NarJ (Redox enzyme maturation protein NarJ),236,narJ,P0AF26;,
JW1220,P37051,Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase),280,purU,P37051;,
JW1222,P0AFR0,NTE family protein RssA,301,rssA,P0AFR0;,
JW1224,P0AEP3,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-Glc PPase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase),302,galU,P0AEP3;,2E3D;
JW1226,P23331,Thymidine kinase (EC 2.7.1.21),205,tdk,P23331;,
JW1229,P25743,UPF0056 membrane protein YhcE,215,ychE,P25743;,
JW1248,P0A915,Outer membrane protein W,212,ompW,P0A915;,2F1T;2F1V;
JW1249,P21363,Protein YciE,168,yciE,P21363;,
JW1250,P21362,Protein YciF,166,yciF,P21362;,2GS4;
JW1252,P0A877,Tryptophan synthase alpha chain (EC 4.2.1.20),268,trpA,P0A877;,1V7Y;1WQ5;1XC4;1XCF;
JW1258,P77766,"5'-3' exoribonuclease Rnm (EC 3.1.13.-) (3',5'-nucleotide bisphosphate phosphatase) (EC 3.1.3.97) (RNase AM)",293,rnm,P77766;,7UG9;
JW5196,P0AFR4,Uncharacterized protein YciO,206,yciO,P0AFR4;,1K7J;1KK9;
JW1262,P0A9H5,"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)",196,btuR,P0A9H5;,
JW1263,P31808,Uncharacterized oxidoreductase YciK (EC 1.-.-.-),252,yciK,P31808;,3E9Q;3F1K;3F1L;
JW1269,P0A7I7,GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II),196,ribA,P0A7I7;,2BZ0;2BZ1;
JW1273,P08244,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase),245,pyrF,P08244;,1EIX;1JJK;1L2U;
JW1281,P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase),262,fabI,P0AEK4;,1C14;1D8A;1DFG;1DFH;1DFI;1I2Z;1I30;1LX6;1LXC;1MFP;1QG6;1QSG;2FHS;3PJD;3PJE;3PJF;4JQC;4JX8;5CFZ;5CG1;5CG2;7UM8;7UMW;
JW1283,P0AAH8,Putrescine export system ATP-binding protein SapF,268,sapF,P0AAH8;,
JW1285,P0AGH5,Putrescine export system permease protein SapC,296,sapC,P0AGH5;,
JW1291,P76038,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (Gamma-Glu-GABA hydrolase) (EC 3.5.1.94),254,puuD,P76038;,6VTV;
JW1292,P0A9U6,HTH-type transcriptional regulator PuuR,185,puuR,P0A9U6;,
JW1297,P0AFM6,Phage shock protein A,222,pspA,P0AFM6;,4WHE;
JW5202,P76044,3-dehydro-D-guloside 4-epimerase (EC 5.1.3.-) (3-keto-D-guloside 4-epimerase),262,ycjR,P76044;,6WN6;
JW1312,P76045,Outer membrane porin G (Outer membrane protein G),301,ompG,P76045;,2F1C;2IWV;2IWW;2JQY;2WVP;2X9K;4CTD;5MWV;6OQH;7Q5C;
JW1319,P0ACV6,Murein peptide amidase A (EC 3.4.17.-) (Gamma-D-Glu-Dap amidase) (Zinc metallocarboxypeptidase MpaA),242,mpaA,P0ACV6;,
JW5804,P76049,Uncharacterized protein YcjY,306,ycjY,P76049;,5XB6;
JW1328,P0A9E5,Fumarate and nitrate reduction regulatory protein,250,fnr,P0A9E5;,
JW1329,P0AFH0,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase),171,ogt,P0AFH0;,
JW1333,P77744,HTH-type transcriptional regulator AbgR,302,abgR,P77744;,
JW1334,P76053,Probable DNA endonuclease SmrA (EC 3.1.-.-),187,smrA,P76053;,3QD7;
JW1338,P76055,tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA),311,ttcA,P76055;,
JW1343,P33228,Protein RecT (P33),269,recT,P33228;,
JW5209,P38392,Superinfection exclusion protein B,162,sieB,P38392;,
JW1354,P76065,Uncharacterized protein YdaU,285,ydaU,P76065;,
JW1367,P77163,Prophage tail fiber assembly protein homolog TfaR (Tail fiber assembly protein homolog from lambdoid prophage Rac),191,tfaR,P77163;,
JW1368,P0ADI0,Serine recombinase PinR (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinR) (Putative DNA-invertase from lambdoid prophage Rac) (Site-specific recombinase PinR),196,pinR,P0ADI0;,
JW1379,Q47129,Transcriptional activator FeaR,301,feaR,Q47129;,
JW5217,P76080,"Putative 1,2-phenylacetyl-CoA epoxidase, subunit D (1,2-phenylacetyl-CoA monooxygenase, subunit D)",165,paaD,P76080;,
JW1388,P76082,"2,3-dehydroadipyl-CoA hydratase (EC 4.2.1.17) (Enoyl-CoA hydratase)",255,paaF,P76082;,4FZW;
JW1389,P77467,"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",262,paaG,P77467;,4FZW;
JW1391,P76084,Acyl-coenzyme A thioesterase PaaI (EC 3.1.2.-) (Phenylacetic acid degradation protein PaaI),140,paaI,P76084;,1PSU;2FS2;
JW1395,P77181,Phenylacetic acid degradation protein PaaY,196,paaY,P77181;,
JW1403,P25906,Pyridoxine 4-dehydrogenase (EC 1.1.1.65),286,pdxI,P25906;,
JW1405,P76090,Inner membrane protein YnbA,201,ynbA,P76090;,
JW1409,P41407,FMN-dependent NADH:quinone oxidoreductase (EC 1.6.5.-) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase) (FMN-dependent NADH-azoreductase) (EC 1.7.1.17),201,azoR,P41407;,1TIK;1V4B;2D5I;2Z98;2Z9B;2Z9C;2Z9D;7N2X;
JW1411,P34209,Protein YdcF,266,ydcF,P34209;,3CA8;
JW5224,P0ABE5,Superoxide oxidase CybB (SOO) (EC 1.10.3.17) (Cytochrome b-561) (Cytochrome b561) (Superoxide:quinone oxidoreductase) (Superoxide:ubiquinone oxidoreductase),176,cybB,P0ABE5;,5OC0;
JW1423,P13857,Ribosomal-protein-serine acetyltransferase (EC 2.3.1.-) (Acetylating enzyme for N-terminus of ribosomal protein L7/L12),179,rimL,P13857;,
JW1426,P25397,Tellurite methyltransferase (EC 2.1.1.265) (Chalcogen-detoxifying protein TehB) (Selenite methyltransferase) (Tellurite resistance protein TehB),197,tehB,P25397;,2XVA;2XVM;
JW1430,P77626,HTH-type transcriptional regulator SutR (Sulfur utilization regulator),178,sutR,P77626;,
JW5233,P76112,L-amino acid N-acyltransferase MnaT (EC 2.3.1.-) (L-methionine N-acyltransferase) (L-methionine sulfoximine/L-methionine sulfone N-acetyltransferase) (L-phenylglycine N-acetyltransferase),172,mnaT,P76112;,
JW1445,P76114,HTH-type transcriptional regulator McbR,221,mcbR,P76114;,
JW1449,P76117,Uncharacterized GST-like protein YncG,205,yncG,P76117;,
JW1452,P31991,Uncharacterized protein YdcD (ORF-E2),160,ydcD,P31991;,
JW1457,P76121,Uncharacterized protein YddH,189,yddH,P76121;,
JW1458,P77567,"Arylamine N-acetyltransferase (EC 2.3.1.5) (Arylhydroxamate N,O-acetyltransferase) (N-hydroxyarylamine O-acetyltransferase) (EC 2.3.1.118)",281,nhoA,P77567;,
JW1459,P37757,Uncharacterized isomerase YddE (EC 5.1.-.-) (ORFB),297,yddE,P37757;,1QY9;1QYA;1SDJ;
JW1461,P19317,Probable nitrate reductase molybdenum cofactor assembly chaperone NarW (Redox enzyme maturation protein NarW),231,narW,P19317;,
JW1467,P76123,Leucine-rich repeat domain-containing protein YddK,318,yddK,P76123;,
JW1471,P0AAJ3,"Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)",294,fdnH,P0AAJ3;,1KQF;1KQG;
JW1472,P0AEK7,"Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit (Anaerobic formate dehydrogenase cytochrome b556 subunit) (Formate dehydrogenase-N subunit gamma) (FDH-N subunit gamma)",217,fdnI,P0AEK7;,1KQF;1KQG;
JW1478,P77622,"Probable D,D-dipeptide transport ATP-binding protein DdpF",308,ddpF,P77622;,
JW1480,P77463,"Probable D,D-dipeptide transport system permease protein DdpC",298,ddpC,P77463;,
JW1483,P77790,D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22),193,ddpX,P77790;,
JW1494,P76135,HTH-type transcriptional regulator YdeO,253,ydeO,P76135;,
JW1496,P77588,Uncharacterized fimbrial-like protein YdeQ,304,ydeQ,P77588;,6MAP;6MAQ;6MAW;
JW1497,P77294,Uncharacterized fimbrial-like protein YdeR,167,ydeR,P77294;,
JW1498,P77789,Uncharacterized fimbrial-like protein YdeS,176,ydeS,P77789;,
JW1510,P76143,"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)",291,lsrF,P76143;,3GKF;3GLC;3GND;4P2V;
JW1512,P76145,Trans-aconitate 2-methyltransferase (EC 2.1.1.144),252,tam,P76145;,
JW5825,P76147,Probable diguanylate cyclase DgcF (DGC) (EC 2.7.7.65),315,dgcF,P76147;,
JW1517,P0A6W0,Glutaminase 2 (EC 3.5.1.2),308,glsA2,P0A6W0;,
JW1519,P77309,Uncharacterized HTH-type transcriptional regulator YneJ,293,yneJ,P77309;,
JW5250,P31125,Probable amino-acid metabolite efflux pump,299,eamA,P31125;,
JW1527,P31126,Uncharacterized MFS-type transporter YdeE,395,ydeE,P31126;,
JW1528,P31129,Diguanylate cyclase DgcZ (DGC) (EC 2.7.7.65) (Zinc-sensory diguanylate cyclase),296,dgcZ,P31129;,3T9O;3TVK;4H54;
JW1530,P31131,Protein YdeJ,172,ydeJ,P31131;,
