Genes,Uniprot_ID,Sol
yedV,P76339,0.13
yedY,P76342,0.07
shiA,P76350,0.04
amn,P0AE12,0.37
cobT,P36562,0.52
yeeR,P76361,0.1
yeeA,P33011,0.33
dacD,P33013,0.13
sbcB,P04995,0.11
hisD,P06988,0.91
hisB,P06987,0.67
cld,P76372,0.08
ugd,P76373,0.08
gnd,P00350,0.9
wbbK,P37751,0.32
wbbI,P37749,0.15
glf,P37747,0.06
rfbB,P37759,0.23
wcaL,P71243,0.22
wcaK,P71242,0.04
cpsB,P24174,0.48
wcaI,P32057,0.1
gmd,P0AC88,0.04
wcaC,P71237,0.09
wza,P0A930,0.44
yegD,P36928,0.08
mdtA,P76397,0.38
baeS,P30847,0.31
yegQ,P76403,0.75
gatD,P0A9S3,0.54
gatZ,P0C8J8,0.07
yceB,P0AB26,0.45
grxB,P0AC59,0.66
yceH,P29217,0.84
mviM,P75931,0.05
flgA,P75933,0.12
flgD,P75936,1.06
flgF,P75938,1.02
flgG,P0ABX5,0.79
flgH,P0A6S0,0.25
flgJ,P75942,0.42
yceF,P0A729,0.84
yceD,P0AB28,1.12
fabD,P0AAI9,0.8
fabG,P0AEK2,0.93
pabC,P28305,0.11
tmk,P0A720,0.88
ycfM,P0AB38,0.97
ycfN,P75948,0.09
ycfP,P0A8E1,0.24
ycfQ,P75952,0.73
lolD,P75957,0.26
ycfX,P75959,0.2
phoP,P23836,0.87
hflD,P25746,0.19
ymfC,P75966,0.78
ymfT,P75975,1.02
ymfK,P75974,1.0
ymfL,P75976,0.21
ymfP,P75981,0.54
ymfQ,P75982,0.12
ycfK,P45581,0.26
tfaE,P09153,1.13
stfE,P33227,0.51
pin,P03014,0.17
mcrA,P24200,0.4
ycgE,P75989,0.36
minD,P0AEZ3,0.95
minC,P18196,0.7
ycgM,P76004,0.24
hlyE,P77335,0.63
dsbB,P0A6M2,0.16
fadR,P0A8V6,0.86
emtA,P0C960,0.16
ldcA,P76008,0.05
ycgR,P76010,0.39
dhaL,P76014,0.82
pth,P0A7D1,0.78
prsA,P0A717,0.09
ispE,P62615,1.0
lolB,P61320,0.85
prmC,P0ACC1,0.81
ychA,P0AGM5,1.06
kdsA,P0A715,0.3
chaC,P39163,0.28
narL,P0AF28,1.02
narJ,P0AF26,1.01
purU,P37051,0.32
rssA,P0AFR0,0.05
galU,P0AEP3,0.86
tdk,P23331,0.56
ychG,P30192,0.25
ychE,P25743,0.13
ompW,P0A915,0.43
yciE,P21363,0.95
yciF,P21362,1.01
trpA,P0A877,0.86
yciV,P77766,0.59
yciO,P0AFR4,0.52
btuR,P0A9H5,1.04
yciK,P31808,0.6
ribA,P0A7I7,1.03
pyrF,P08244,0.51
fabI,P0AEK4,0.49
sapF,P0AAH8,0.08
sapC,P0AGH5,0.11
puuD,P76038,0.49
puuR,P0A9U6,0.68
pspA,P0AFM6,1.14
ycjR,P76044,0.44
ompG,P76045,0.55
mpaA,P0ACV6,0.59
ycjY,P76049,0.16
fnr,P0A9E5,1.05
ogt,P0AFH0,0.11
abgR,P77744,0.03
ydaL,P76053,0.66
ydaO,P76055,0.93
recT,P33228,0.61
sieB,P38392,0.14
ydaU,P76065,0.2
tfaR,P77163,1.13
pinR,P0ADI0,0.7
feaR,Q47129,0.37
paaD,P76080,1.17
paaF,P76082,0.71
paaG,P77467,0.99
paaI,P76084,0.77
paaY,P77181,0.45
ydbC,P25906,0.61
ynbA,P76090,0.12
azoR,P41407,1.09
ydcF,P34209,0.24
cybB,P0ABE5,0.32
rimL,P13857,1.18
tehB,P25397,0.5
ydcN,P77626,0.75
yncA,P76112,0.44
yncC,P76114,0.46
yncG,P76117,0.16
ydcD,P31991,0.09
yncI,P76119,0.54
yddH,P76121,0.57
nhoA,P77567,0.82
yddE,P37757,0.82
narW,P19317,0.91
yddK,P76123,0.06
fdnH,P0AAJ3,0.81
fdnI,P0AEK7,0.35
ddpF,P77622,0.18
ddpC,P77463,0.15
ddpX,P77790,0.46
ydeO,P76135,0.61
ydeQ,P77588,0.62
ydeR,P77294,0.67
ydeS,P77789,0.79
lsrF,P76143,0.34
tam,P76145,0.78
yneF,P76147,0.32
yneH,P0A6W0,0.48
yneJ,P77309,0.04
eamA,P31125,0.04
ydeE,P31126,0.94
ydeH,P31129,0.37
ydeJ,P31131,0.98
ydfG,P39831,0.15
pinQ,P77170,0.22
tfaQ,P76155,0.88
nohA,P31061,0.72
ydfP,P76158,0.19
ydfQ,P76159,0.82
ydfT,P76161,0.4
speG,P0A951,0.62
ynfG,P0AAJ1,0.39
ynfK,P0A6E9,0.89
ynfL,P77559,0.35
ydgD,P76176,0.29
ydgH,P76177,0.13
folM,P0AFS3,0.2
rstA,P52108,0.85
tus,P16525,0.05
uidR,P0ACT6,0.94
hdhA,P0AET8,0.68
rsxB,P77223,0.23
rsxG,P77285,0.43
rsxE,P77179,0.04
nth,P0AB83,0.57
gst,P0A9D2,0.77
pdxY,P77150,0.35
pdxH,P0AFI7,0.51
ydhJ,P76185,0.27
ydhF,P76187,0.11
ydhM,P67430,0.16
rnt,P30014,0.65
sodB,P0AGD3,0.78
ydhB,P0ACR2,0.07
ribC,P0AFU8,0.91
ydhT,P77147,0.25
ydhU,P77409,0.11
ydhW,P77564,0.92
ydhY,P0AAL6,0.32
sufC,P77499,0.69
ydiB,P0A6D5,0.84
aroD,P05194,0.97
ydiR,P77378,0.09
ydiA,P0A8A4,0.21
ydiV,P76204,0.17
btuD,P06611,0.09
btuE,P06610,0.99
ydiY,P76206,0.16
pfkB,P06999,0.84
yniB,P76208,0.41
yniC,P77247,0.45
ydjM,P64481,0.16
ydjO,P76210,0.14
chbG,P37794,0.11
chbR,P17410,0.37
ydjQ,P76213,0.14
ydjR,P76214,0.16
spy,P77754,1.04
xthA,P09030,0.24
ydjY,P76220,0.96
ynjD,P76909,0.2
ydjA,P0ACY1,0.99
ydjF,P77721,0.04
ydjI,P77704,0.21
yeaD,P39173,0.97
yeaE,P76234,0.13
mipA,P0A908,0.11
yeaK,P64483,0.81
yeaM,P76241,0.17
yeaT,P76250,0.07
yeaY,P0AA91,0.26
yeaZ,P76256,1.01
yeaB,P43337,0.16
manZ,P69805,0.3
rrmA,P36999,0.37
kdgR,P76268,0.66
htpX,P23894,0.08
yebR,P76270,0.57
pphA,P55798,0.07
yobB,P76280,0.11
exoX,P0AEK0,0.12
yebE,P33218,0.89
eda,P0A955,0.78
yebK,P46118,0.27
znuC,P0A9X1,0.16
ruvA,P0A809,0.94
ruvC,P0A814,0.18
yecD,P0ADI7,0.77
yecE,P37348,0.12
yecO,P76290,0.33
cutC,P67826,0.2
cheZ,P0A9H9,1.08
cheR,P07364,0.11
cheW,P0A964,0.81
motB,P0AF06,0.33
motA,P09348,0.19
flhC,P0ABY7,0.03
otsB,P31678,0.45
yecI,P0A9A2,0.83
ftn,P0A998,0.75
yecA,P0AD05,0.87
pgsA,P0ABF8,0.07
uvrY,P0AED5,0.75
yecC,P37774,0.37
yecS,P0AFT2,0.05
fliY,P0AEM9,0.96
fliZ,P52627,0.23
yedK,P76318,0.2
fliH,P31068,1.09
rcsA,P0DMC9,0.32
yedP,P76329,0.7
yedI,P46125,0.04
yedJ,P46144,1.17
yedS,P76335,0.18
hchA,P31658,0.79
yedW,P76340,1.05
yodB,P76345,0.16
yeeI,P76346,0.87
yeeL,P76349,0.14
cbl,Q47083,0.21
erfK,P39176,0.11
cobS,P36561,0.03
cobU,P0AE76,0.62
yeeP,P76359,0.06
hisG,P60757,0.64
hisH,P60595,0.11
hisA,P10371,0.44
hisI,P06989,0.98
rfbA,P37744,0.64
galF,P0AAB6,0.58
nudD,P32056,0.76
wcaF,P0ACD2,0.19
wcaE,P71239,0.11
wcaA,P77414,0.3
dcd,P28248,0.91
udk,P0A8F4,0.66
alkA,P04395,0.2
yegK,P76395,0.66
yegL,P76396,0.53
baeR,P69228,0.74
yegS,P76407,0.76
yceP,P0AB33,0.89
flgN,P43533,0.81
flgM,P0AEM4,0.89
flgB,P0ABW9,0.94
flgC,P0ABX2,0.43
hinT,P0ACE7,0.84
ycfL,P75946,0.7
ycfR,P0AB40,0.71
ymfB,P0AEI6,0.98
ymfG,P75970,1.35
ymfR,P75979,0.16
ymfO,P75980,0.1
ycgZ,P75991,0.88
ymgA,P75992,0.96
ymgC,P75994,0.37
ymgF,P58034,0.25
ymgD,P0AB46,0.86
ymgG,Q7DFV3,0.99
minE,P0A734,1.02
ycgJ,P76001,0.78
ycgK,P76002,0.73
ycgL,P0AB43,1.08
ycgN,P0A8L5,0.86
umuD,P0AG11,0.66
ymgE,P76011,0.16
ycgY,P76012,0.88
ychH,P0AB49,0.73
ychQ,Q46755,0.25
chaB,P0AE63,1.12
ychN,P0AB52,0.92
ychJ,P37052,0.65
hns,P0ACF8,1.03
yciA,P0A8Z0,0.8
yciG,P21361,0.92
yciN,P0AB61,0.82
yciS,P0ACV4,0.36
yciH,P08245,1.1
ycjD,P45736,0.3
ymjA,P0ACV8,1.02
pspB,P0AFM9,0.63
pspC,P0AFN2,0.29
pspD,P0AFV8,0.35
ynaJ,P64445,0.3
ydaC,P33230,1.34
lar,P33229,1.04
racC,P15033,1.05
ydaE,P38394,1.18
kil,P38393,0.25
racR,P76062,0.92
ydaT,P76064,0.88
ydaW,P76066,0.88
rzpR,P77551,1.03
ynaK,P76068,0.9
ydaY,P76069,0.77
uspF,P37903,0.94
ydbJ,P0ACW2,0.24
hslJ,P52644,1.07
ydbL,P76076,0.51
paaB,P76078,0.86
gapC,Q83ML5,0.97
ydcH,P0ACW6,0.72
yncJ,P64459,0.38
ydcQ,P67697,0.87
ydcY,P64455,1.03
ydcZ,P76111,0.14
yncH,P76118,0.36
yddL,P77519,0.48
osmC,P0C0L2,1.01
ykgM,Q2EEQ2,1.36
lsrG,P64461,0.77
yneG,P76148,0.44
marC,P0AEY1,0.05
marR,P27245,0.81
marA,P0ACH5,0.12
marB,P31121,0.61
ydeI,P31130,1.01
ydfZ,P64463,1.03
ydfK,P76154,0.78
ydfR,P76160,0.48
essQ,P77237,0.17
cspB,P36995,1.14
cspF,P0A976,0.21
relB,P0C079,0.94
flxA,P77609,0.93
ydfX,P76165,0.86
dicC,P06965,0.75
dicA,P06966,0.58
ydfC,P21418,0.52
ynfB,P76170,0.49
ynfD,P76172,0.79
mdtJ,P69212,0.37
ydgC,P0ACX0,0.24
ydhA,P28224,0.53
slyA,P0A8W2,0.9
gloA,P0AC81,1.0
ydhD,P0AC69,0.91
ydhZ,P0ACX5,1.12
lpp,P69776,0.58
sufE,P76194,1.04
sufA,P77667,0.86
ydiI,P77781,0.78
ydiL,P76196,0.43
ydiT,P77714,0.84
ydiE,P0ACX9,1.3
nlpC,P23898,0.34
rplT,P0A7L3,1.0
rpmI,P0A7Q1,1.22
infC,P0A707,1.14
cedA,P0AE60,1.08
chbA,P69791,1.12
chbB,P69795,0.98
osmE,P0ADB1,0.99
nudG,P77788,0.9
ynjH,P76227,0.27
yeaA,P0A746,0.97
hokB,P77494,0.42
yeaO,P76243,1.36
yoaF,P64493,0.91
yeaR,P64488,0.97
yoaB,P0AEB7,0.77
yoaC,P64490,1.06
cspC,P0A9Y6,0.94
yebO,P64499,0.46
proQ,P45577,0.7
yebV,P64503,0.93
yebW,P76275,0.75
yebY,P64506,0.36
holE,P0ABS8,0.96
yebF,P33219,1.08
yebG,P0ACY9,1.08
nudB,P0AFC0,0.53
yecN,P64515,0.5
yecM,P52007,1.08
flhE,P76297,0.68
cheY,P0AE67,0.95
flhD,P0A8S9,0.88
yecG,P46888,0.84
yecJ,P0AD10,1.06
yecR,P76308,0.15
yecH,P46887,0.76
yecF,P0AD07,1.05
fliS,P26608,0.69
fliT,P0ABY2,0.93
yedD,P31063,1.31
yedF,P0AA31,0.91
yedL,P76319,0.18
yedM,P76322,0.17
fliE,P0A8T5,0.62
fliJ,P52613,0.9
fliL,P0ABX8,0.35
fliN,P15070,1.08
fliO,P22586,0.15
fliQ,P0AC07,0.31
yedX,P76341,0.78
yedR,P76334,0.43
yeeN,P0A8A2,0.66
yeeS,P76362,0.66
yeeT,P64521,0.23
yeeU,P76364,0.83
yeeV,P64524,0.92
yeeX,P0A8M6,0.09
sbmC,P33012,1.33
yefM,P69346,0.84
wbbL,P36667,0.55
wzb,P0AAB2,0.25
yegJ,P76394,0.79
gatR,P36930,0.91
ygiZ,Q46867,0.27
yqaC,P76616,0.08
mdtI,P69210,0.15
ygiU,Q46865,0.74
yafN,Q47156,0.57
yifO,P56259,0.1
yahM,P75692,0.14
ypdI,O32528,0.23
ykfJ,P75675,0.17
rpsP,P0A7T3,1.09
nrdH,P0AC65,1.03
ydhI,P64471,0.44
rffT,P56258,0.48
rzoD,P58041,1.47
yobG,P64512,0.54
rzoR,P58042,0.88
yehB,P33341,0.06
yehI,P33346,0.17
yehM,P33349,0.1
bglX,P33363,0.31
yejO,P33924,0.3
rcsD,P39838,0.24
gyrA,P0AES4,0.49
yfaL,P45508,0.52
nrdA,P00452,0.63
nuoG,P33602,0.18
ypdD,P77439,0.39
maeB,P76558,0.81
yphG,P76585,0.06
yfiQ,P76594,0.08
clpB,P63284,0.75
yfjK,P52126,0.46
alaS,P00957,0.58
hypF,P30131,0.74
mutS,P23909,0.42
relA,P0AG20,0.76
barA,P0AEC5,0.56
ptr,P05458,0.66
recC,P07648,0.06
ptsP,P37177,0.09
aas,P31119,0.07
xdhA,Q46799,0.12
xdhD,Q46814,0.37
gcvP,P33195,0.22
speC,P21169,0.03
glcB,P37330,0.49
parC,P0AFI2,0.18
glnE,P30870,0.57
ebgA,P06864,0.22
ygjK,P42592,0.22
tdcE,P42632,0.17
metG,P00959,0.5
yehQ,P33353,0.12
yehU,P0AD14,0.02
dld,P06149,0.79
cirA,P17315,0.47
fruA,P20966,0.07
yejA,P33913,0.2
yejH,P33919,0.26
mqo,P33940,0.18
yojI,P33941,0.18
atoS,Q06067,0.27
yfaQ,P76463,0.09
yfaA,P17994,0.9
glpA,P0A9C0,0.06
yfbG,P77398,0.03
menD,P17109,0.04
yfbK,P76481,0.49
pta,P0A9M8,0.54
purF,P0AG16,0.16
trmC,P77182,0.52
yfcU,P77196,0.48
yfcX,P77399,0.16
oxc,P0AFI0,0.22
ligA,P15042,0.59
ptsI,P08839,0.9
tktB,P33570,0.11
aegA,P37127,0.21
narQ,P27896,0.07
hyfR,P71229,0.07
ppk,P0A7B1,0.08
ppx,P0AFL6,0.47
guaB,P0ADG7,0.49
der,P0A6P5,0.66
hscA,P0A6Z1,1.02
yphE,P77509,0.05
nadB,P10902,0.2
recN,P05824,0.13
yfjL,P52127,0.17
gshA,P0A6W9,0.26
srlA,P56579,0.17
hycE,P16431,0.07
fhlA,P19323,0.1
ygcL,Q46901,0.1
cysI,P17846,0.38
cysJ,P38038,0.24
pyrG,P0A7E5,0.77
fucI,P69922,0.36
recD,P04993,0.15
ygeV,Q46802,0.1
yqeB,Q46808,0.18
ygfT,Q46820,0.25
yliK,P27253,0.17
tktA,P27302,0.32
speA,P21170,0.48
glcD,P0AEP9,0.52
pitB,P43676,0.06
gss,P0AES0,0.5
hybC,P0ACE0,0.29
ygiS,Q46863,0.27
parE,P20083,0.77
ydiO,P0A9U8,0.34
yqiK,P77306,1.01
dnaG,P0ABS5,0.4
rpoD,P00579,0.93
aer,P50466,0.31
fadH,P42593,0.17
garD,P39829,0.48
fbaB,P0A991,0.05
yegU,P76418,0.3
yehA,P33340,0.49
mrp,P0AF08,0.85
yehL,P33348,0.12
yehP,P33352,0.08
yehX,P33360,0.09
yohG,B7LA05,0.03
dusC,P33371,0.1
yeiT,P76440,0.23
yeiA,P25889,0.65
mglA,P0AAG8,0.15
mglB,P0AEE5,0.75
galS,P25748,0.1
yeiI,P33020,0.09
yeiN,P33025,0.98
yeiC,P30235,0.22
fruK,P0AEW9,0.79
fruB,P69811,0.91
yeiQ,P33029,0.31
rtn,P76446,0.77
yejK,P33920,0.76
yejM,P0AD27,0.02
ccmH,P0ABM9,0.41
ada,P06134,0.32
ompC,P06996,0.07
atoC,Q06065,0.39
atoB,P76461,0.09
nrdB,P69924,0.46
glpQ,P09394,0.39
glpB,P13033,0.25
glpC,P0A996,0.14
yfaW,P77215,0.06
yfaY,P77808,0.52
yfbE,P77690,0.13
yfbF,P77757,0.14
menE,P37353,0.31
menC,P29208,0.41
menF,P38051,0.5
elaC,P0A8V0,0.29
nuoF,P31979,0.12
nuoC,P33599,0.18
lrhA,P36771,0.12
yfbQ,P0A959,0.21
ackA,P0A6A3,1.13
folC,P08192,0.85
usg,P08390,1.02
pdxB,P05459,0.15
flk,P15286,0.62
fabB,P0A953,0.13
aroC,P12008,0.58
prmB,P39199,0.33
fadL,P10384,0.01
yfdC,P37327,0.38
intS,P37326,0.59
dsdC,P46068,0.08
dsdX,P08555,0.12
dsdA,P00926,0.67
emrK,P52599,0.39
yfdE,P76518,0.37
frc,P69902,0.82
ddg,P0ACV2,0.09
yfdZ,P77434,0.77
ypdE,P77585,0.93
glk,P0A6V8,0.8
gltX,P04805,0.87
yfeR,P0ACR7,0.12
zipA,P77173,0.96
cysK,P0ABK5,0.77
cysA,P16676,0.14
cysP,P16700,0.62
yfeG,P36547,0.05
eutB,P0AEJ6,0.13
eutA,P76551,0.33
eutG,P76553,0.09
eutE,P77445,0.76
eutI,P77218,0.82
talA,P0A867,0.18
ypfG,P76559,0.62
dapE,P0AED7,0.2
nlpB,P0A903,0.87
yfgO,P0AFI9,0.26
purM,P08178,0.93
hisS,P60906,0.59
yfgB,P36979,0.6
iscS,P0A6B7,0.37
csiE,P54901,0.12
hcaE,P0ABR5,0.14
hcaD,P77650,0.41
yphC,P77360,0.07
yphD,P77315,0.38
yphF,P77269,0.64
hmp,P24232,0.87
yfhA,P0AFU4,0.43
yfhK,P52101,0.19
yfhD,P0AGC5,0.1
lepB,P00803,0.28
lepA,P60785,0.46
rseB,P0AFX9,0.15
srmB,P21507,0.69
yfiF,P0AGJ5,0.81
pssA,P23830,0.36
pheA,P0A9J8,0.44
tyrA,P07023,0.72
aroF,P00888,0.63
ffh,P0AGD7,1.07
yfjD,P37908,0.12
intA,P32053,0.08
yfjH,P52123,0.19
yfjI,P52124,0.22
yfjN,P52129,0.08
ygaT,P76621,0.47
ygaF,P37339,0.15
gabD,P25526,0.6
gabT,P22256,0.77
nrdF,P37146,0.32
proV,P14175,0.73
proW,P14176,0.05
proX,P0AFM2,0.52
emrA,P27303,0.26
recA,P0A7G6,0.88
mltB,P41052,0.27
gutQ,P17115,0.52
norR,P37013,0.3
norV,Q46877,0.39
norW,P37596,0.42
ascG,P24242,0.24
ascF,P24241,0.07
ascB,P24240,0.28
hypD,P24192,0.29
hypE,P24193,0.24
ygbK,Q46889,0.21
rpoS,P13445,0.31
nlpD,P0ADA3,0.85
truD,Q57261,0.52
cysN,P23845,0.49
iap,P10423,0.26
ygcJ,Q46899,0.17
ygcN,Q46904,0.2
ygcE,P55138,0.39
eno,P0A6P9,1.01
gudD,P0AES2,0.15
gudX,Q46915,0.19
ygdH,P0ADR8,0.04
sdaB,P30744,0.9
fucO,P0A9S1,0.77
fucK,P11553,0.09
ygdE,P0ADR6,0.39
csdA,Q46925,0.1
mltA,P0A935,0.36
amiC,P63883,0.33
argA,P0A6C5,0.58
tas,P0A9T4,0.11
galR,P03024,0.37
lysA,P00861,0.67
lysR,P03030,0.07
yqeF,Q46939,0.47
ygeH,P76639,0.2
ygeW,Q46803,0.68
ygeX,P66899,0.75
ygeY,P65807,0.82
hyuA,Q46806,0.24
yqeA,Q46807,0.97
ssnA,Q46812,0.06
guaD,P76641,0.46
ygfZ,P0ADE8,0.82
bglA,Q46829,0.7
gcvT,P27248,1.01
visC,P25535,0.49
ubiH,P25534,0.15
pepP,P15034,0.75
serA,P0A9T0,0.61
argK,P27254,0.23
ygfH,P52043,0.07
fbaA,P0AB71,0.7
pgk,P0A799,1.0
epd,P0A9B6,0.32
speB,P60651,0.68
metK,P0A817,0.48
gshB,P04425,0.77
yggR,P52052,0.19
yggW,P52062,0.09
yggM,P46142,0.32
ansB,P00805,0.49
mutY,P17802,0.32
yghF,Q46834,0.36
glcF,P52074,0.24
yghO,Q46840,0.08
hybA,P0AAJ8,0.39
yghZ,Q46851,0.13
metC,P06721,0.28
yqhD,Q46856,0.92
yqhC,Q46855,0.22
ygiQ,Q46861,0.11
sufI,P26648,0.08
qseC,P40719,0.22
ygiC,P0ADT5,0.7
yjgK,P0AF96,0.56
rfaE,P76658,0.77
ygiF,P30871,0.79
cca,P06961,0.84
ygiP,P45463,0.13
ygjD,P05852,0.15
ygjG,P42588,0.53
ebgR,P06846,0.99
ygjJ,P42591,0.31
ygjO,P42596,0.57
ygjR,P42599,0.54
sstT,P0AGE4,0.15
uxaA,P42604,1.14
yqjG,P42620,0.24
tdcD,P11868,0.54
tdcB,P0AGF6,0.72
tdcA,P0ACQ7,0.49
garK,P23524,0.99
kbaZ,P0C8K0,0.62
gatY,P0C8J6,0.11
yjgM,P39337,1.11
yegW,P0ACM5,0.25
yegX,P76421,0.31
thiD,P76422,0.14
thiM,P76423,0.55
yohN,P64534,0.8
yehT,P0AFT5,0.94
mlrA,P33358,1.15
yehW,P33359,0.15
yehZ,P33362,0.72
pbpG,P0AFI5,0.83
yohC,P0AD17,0.16
yohD,P33366,0.66
yohF,P33368,0.62
cdd,P0ABF6,0.42
sanA,P0AFY2,0.11
folE,P0A6T5,0.5
yeiE,P0ACR4,0.15
nfo,P0A6C1,0.14
rihB,P33022,0.62
yeiL,P0A9E9,0.24
yeiP,P0A6N8,0.92
yeiU,P76445,0.36
narP,P31802,0.78
ccmG,P0AA86,0.69
ccmB,P0ABL8,0.04
ccmA,P33931,0.47
napC,P0ABL5,0.14
napH,P33934,0.06
napG,P0AAL3,0.2
napF,P0AAL0,0.12
eco,P23827,0.85
alkB,P05050,0.18
yojL,P0AB85,0.66
rcsB,P0DMC7,0.9
atoD,P76458,0.54
atoA,P76459,0.26
yfaP,P76462,1.08
yfaS,Q83KC8,0.82
yfaT,P76466,0.26
ubiG,P17993,0.79
inaA,P27294,0.24
yfaD,P37014,0.48
yfaU,P76469,0.07
yfaX,P77732,0.38
yfaZ,P76471,0.78
ais,P45565,0.5
yfbH,P76472,0.11
menB,P0ABU0,0.72
elaD,Q47013,0.36
yfbN,P76484,0.41
yfbP,P76486,0.42
nuoJ,P0AFE0,0.83
nuoI,P0AFD6,0.72
nuoE,P0AFD1,0.31
nuoB,P0AFC7,0.78
yfbR,P76491,0.68
yfbT,P77625,0.68
yfbU,P0A8W8,0.39
yfcD,P65556,0.19
yfcH,P77775,0.17
yfcI,P77768,0.42
hisP,P07109,0.67
hisQ,P52094,0.08
ubiX,P0AG03,0.22
accD,P0A9Q5,0.62
truA,P07649,0.38
yfcM,P76938,0.77
mepA,P0C0T5,0.17
yfcN,P0A8B2,0.48
yfcO,P76498,0.42
yfcQ,P76500,0.96
yfcR,P76501,0.5
yfcS,P77599,0.78
yfcT,P77196,0.79
yfcV,P77288,0.98
sixA,P76502,0.79
yfdF,P76505,0.81
vacJ,P76506,0.2
yfdL,P76508,0.12
yfdN,P76510,0.77
yfdQ,P76513,1.03
yfdR,P76514,0.08
evgA,P0ACZ4,1.08
yjhD,P39354,0.08
yfdX,P76520,0.5
ypdB,P0AE39,0.77
ypdC,P77396,0.18
ypdF,P76524,0.33
xapR,P23841,0.35
xapA,P45563,0.06
yfeN,P45564,0.06
cysZ,P0A6J3,0.2
crr,P69783,1.14
pdxK,P40191,0.11
yfeS,P78271,0.3
cysM,P16703,0.52
cysW,P0AEB0,0.52
cysU,P16701,1.18
ucpA,P37440,0.79
yfeT,P77245,0.25
yjiD,P39375,0.7
yfeX,P76536,0.2
yfeY,P76537,0.59
amiA,P36548,0.37
hemF,P36553,1.02
yffI,P76540,0.8
eutL,P76541,0.2
eutC,P19636,0.17
eutJ,P77277,0.81
eutT,P65643,1.06
eutQ,P76555,0.89
yffH,P37128,0.73
ypfH,P76561,1.03
purC,P0A7D7,0.5
gcvR,P0A9I3,1.27
hyfA,P23481,0.75
hyfH,P77423,0.17
focB,P77733,0.74
upp,P0A8F0,1.08
purN,P08179,0.98
yfgH,P65290,0.73
yfgI,P76573,0.12
sseB,P0AFZ1,1.31
iscR,P0AGK8,1.03
yfhQ,P0AE01,0.79
suhB,P0ADG4,0.87
yfhR,P77538,0.21
hcaR,Q47141,0.11
hcaF,Q47140,0.06
hcaB,P0CI31,0.1
yphB,P76584,0.39
yfhG,P0AD44,0.55
tadA,P68398,0.16
yfhB,P0AD42,0.08
yfhH,P37767,0.35
era,P06616,0.92
rnc,P0A7Y0,1.17
rseA,P0AFX7,0.59
rpoE,P0AGB6,1.01
yfiC,P31825,0.49
yfiE,P33634,0.12
ung,P12295,0.14
yfiP,Q47319,0.37
yfiH,P33644,0.11
yfiO,P0AC02,0.22
yfiR,P64548,0.22
yjjZ,P55914,0.2
yfiB,P07021,0.75
trmD,P0A873,0.3
rimM,P0A7X6,1.07
uppS,P0A7B3,0.32
smpB,P0A832,1.01
yfjP,P52131,0.35
yfjQ,P52132,0.12
yfjR,P52133,0.3
yfjY,P52140,0.37
ygaR,P76616,0.12
csiR,P37338,0.07
ygaP,P55734,0.28
nrdI,P0A772,1.01
ygaY,P76628,0.12
mprA,P0ACR9,1.03
luxS,P45578,1.1
yqaB,P77475,0.13
recX,P33596,0.93
ygaD,P0A6G3,1.03
srlD,P05707,0.33
srlR,P15082,0.5
hydN,P0AAK4,1.02
hycG,P16433,0.46
hycF,P16432,0.42
hypB,P0AAN3,0.94
pphB,P55799,0.22
ygbI,P52598,0.11
ygbJ,Q46888,0.63
ygbL,Q46890,0.57
ygbM,Q46891,0.15
pcm,P0A7A5,0.15
surE,P0A840,0.41
ispD,Q46893,0.67
cysC,P0A6J1,0.84
cysD,P21156,0.11
ygcH,Q46897,0.16
ymfE,P75968,0.08
ygcK,P76632,0.5
cysH,P17854,0.12
ygcP,Q46906,0.62
ygcQ,Q46907,0.52
ygcR,Q46908,0.25
ygcU,Q46911,0.11
ygcF,P64554,0.63
mazG,P0AEY3,0.89
yqcB,P0AA41,0.09
syd,P0A8U0,0.59
yqcD,Q46920,0.47
exo,P38506,0.3
fucA,P0AB87,0.54
fucR,P0ACK8,0.36
gcvA,P0A9F6,0.1
ygdL,Q46927,0.69
ppdB,P08371,0.23
thyA,P0A884,0.06
lgt,P60955,0.11
nudH,P0A776,0.63
mutH,P06722,1.0
ygdQ,P67127,0.17
ygeA,P03813,0.12
kduD,P37769,0.71
kduI,Q46938,0.63
yqeH,Q46941,0.13
ygeG,Q46787,0.55
ygeQ,Q46797,0.68
ygeR,Q46798,0.58
xdhB,Q46800,0.17
yqeC,Q46809,0.23
ygfM,P64557,0.31
ygfS,Q46819,0.97
idi,Q46822,0.32
prfB,P07012,0.93
dsbC,P0AEG6,0.82
xerD,P0A8P8,0.73
fldB,P0ABY4,0.91
ygfF,P52037,0.14
ygfB,P0A8C4,0.98
ygfA,P0AC28,0.09
rpiA,P0A7Z0,0.94
argP,P0A8S1,0.17
ygfG,P52045,0.56
ygfI,P52044,0.19
yggE,P0ADS6,1.11
argO,P11667,0.19
mscS,P0C0S1,0.42
yggC,P11664,0.24
yggD,P11663,0.8
ydfO,P76156,0.77
yggG,P25894,0.6
sprT,P39902,0.91
endA,P25736,1.0
yggJ,P0AGL7,0.19
yqgE,P0A8W5,0.85
yggS,P67080,0.74
yggT,P64564,0.05
yggV,P52061,0.95
yggN,P0ADS9,0.8
yggH,P0A8I5,0.4
mltC,P0C066,0.18
pyrI,P0A7F3,1.17
yghD,Q46832,0.28
glcC,P0ACL5,0.2
yghR,P64572,0.32
yghS,Q46843,0.36
yghT,Q46844,0.5
